listing_id,lat,lon,price,beds,price_bed,neighbourhood,property_type,room_type,accommodates
9532771,42.3216934,-71.114624,$80.00,1,80,Jamaica Plain,Apartment,Private room,2
10253591,42.3147015,-71.0996176,$105.00,1,105,Jamaica Plain,House,Private room,2
1881298,42.3001299,-71.111615,$90.00,1,90,Jamaica Plain,House,Private room,2
210097,42.3097365,-71.1151431,$100.00,1,100,Jamaica Plain,Apartment,Entire home/apt,2
6059968,42.3176253,-71.1064023,$100.00,1,100,Jamaica Plain,Apartment,Shared room,2
6862758,42.3180879,-71.1049211,$200.00,3,66.6666666666667,Jamaica Plain,Apartment,Entire home/apt,5
799701,42.319843,-71.1142976,$300.00,4,75,Jamaica Plain,Apartment,Entire home/apt,8
6862594,42.319843,-71.1142976,$60.00,1,60,Jamaica Plain,House,Private room,2
9057435,42.3129614,-71.1163506,$319.00,3,106.333333333333,Jamaica Plain,Apartment,Entire home/apt,6
750438,42.3069064,-71.1126004,$85.00,1,85,Jamaica Plain,Apartment,Private room,2
12874603,42.3170274,-71.1048852,$70.00,1,70,Jamaica Plain,Condominium,Private room,2
12727401,42.2784305,-71.1599071,$50.00,1,50,Jamaica Plain,Apartment,Private room,2
2077794,42.3048207,-71.1131741,$119.00,1,119,Jamaica Plain,Apartment,Entire home/apt,4
9712731,42.3258875,-71.1117783,$125.00,2,62.5,Jamaica Plain,Condominium,Entire home/apt,3
13677640,42.3120135,-71.1003526,$53.00,1,53,Jamaica Plain,Apartment,Private room,2
3371091,42.3166444,-71.1142376,$125.00,1,125,Jamaica Plain,Apartment,Private room,4
13512551,42.3600825,-71.0588801,$199.00,4,49.75,Jamaica Plain,House,Entire home/apt,6
732999,42.2955696,-71.1220297,$205.00,2,102.5,Jamaica Plain,Apartment,Entire home/apt,4
6106955,42.308581,-71.1014255,$114.00,2,57,Jamaica Plain,Condominium,Entire home/apt,5
2698996,42.3122377,-71.1242252,$75.00,1,75,Jamaica Plain,Apartment,Private room,2
27611,42.3157967,-71.1150174,$185.00,1,185,Jamaica Plain,Apartment,Entire home/apt,2
4025194,42.331929,-71.0820555,$75.00,1,75,Jamaica Plain,Apartment,Private room,2
8336364,42.3097365,-71.1151431,$180.00,2,90,Jamaica Plain,Apartment,Entire home/apt,4
12071820,42.306101,-71.1116089,$70.00,1,70,Jamaica Plain,Apartment,Shared room,2
7910223,42.3167197,-71.1007364,$150.00,2,75,Jamaica Plain,Bed & Breakfast,Entire home/apt,2
4567815,42.3058808,-71.1169152,$120.00,2,60,Jamaica Plain,Apartment,Entire home/apt,4
12022134,42.3088404,-71.116679,$92.00,1,92,Jamaica Plain,Apartment,Private room,2
13513012,42.2989452,-71.1116663,$84.00,1,84,Jamaica Plain,Apartment,Private room,2
3730447,42.2945736,-71.1153751,$200.00,2,100,Jamaica Plain,Apartment,Entire home/apt,4
4149974,42.2784305,-71.1599071,$115.00,1,115,Jamaica Plain,Apartment,Entire home/apt,2
14933380,42.3237568,-71.1114464,$49.00,1,49,Jamaica Plain,Apartment,Shared room,1
6238463,42.3401489,-71.0902509,$95.00,1,95,Jamaica Plain,Townhouse,Private room,2
1929406,42.311774,-71.111244,$275.00,4,68.75,Jamaica Plain,House,Entire home/apt,6
4583526,42.303834,-71.1165933,$230.00,4,57.5,Jamaica Plain,Apartment,Entire home/apt,9
7287822,42.3143122,-71.1100048,$130.00,4,32.5,Jamaica Plain,Apartment,Entire home/apt,4
8354938,42.3147015,-71.0996176,$192.00,3,64,Jamaica Plain,Apartment,Entire home/apt,5
5025015,42.3239036,-71.1090608,$175.00,4,43.75,Jamaica Plain,Apartment,Entire home/apt,5
4452800,42.2945736,-71.1153751,$70.00,1,70,Jamaica Plain,Apartment,Private room,2
7554801,42.3205726,-71.1071514,$65.00,1,65,Jamaica Plain,Townhouse,Private room,2
9349646,42.305419,-71.1063402,$100.00,1,100,Jamaica Plain,Apartment,Private room,2
6386351,42.3030306,-71.1140128,$185.00,1,185,Jamaica Plain,Apartment,Entire home/apt,3
5124772,42.3178068,-71.1007759,$250.00,5,50,Jamaica Plain,House,Entire home/apt,10
3977877,42.3188296,-71.1076794,$110.00,1,110,Jamaica Plain,Apartment,Entire home/apt,2
1754939,42.3127562,-71.1022749,$150.00,3,50,Jamaica Plain,House,Entire home/apt,5
6602167,42.3234452,-71.1081651,$168.00,4,42,Jamaica Plain,Apartment,Entire home/apt,6
3987926,42.331929,-71.0820555,$60.00,1,60,Jamaica Plain,Apartment,Private room,2
5729845,42.2329523,-71.1335994,$59.00,1,59,Jamaica Plain,Apartment,Private room,2
9727523,42.3167535,-71.1075896,$60.00,1,60,Jamaica Plain,House,Private room,2
12463555,42.3069064,-71.1126004,$145.00,4,36.25,Jamaica Plain,Apartment,Entire home/apt,4
9137560,42.3068503,-71.1192035,$80.00,1,80,Jamaica Plain,Apartment,Private room,2
