listing_id,lat,lon,Isabella Stewart Gardner Museum,Fenway Park,MFA Boston,Harvard Square,Boston Harbor,Boston Common,Bunker Hill Monument,Faneuil Hall Marketplace,Arnold Arboretum,Skywalk Observatory,price,beds,price_bed,rating,reviews_month,reviews_count,property_type,room_type,accommodates,host_response_rate,host_listing_count,bathrooms,bedrooms,availability,n,sscore,avgsscore,clus
8634599,42.3096742,-71.1131974,2.56,3.09,2.63,5.06,7.57,4.28,6.04,5.01,0.64,3.58,179,1,179,83,1.33,15,2,2,2,100,4,1,1,359,98,171,1.74489795918367,4
1704090,42.3169505,-71.1059087,1.92,2.64,1.98,4.61,6.84,3.55,5.3,4.28,1.37,2.9,125,1,125,91,1.87,67,1,2,2,100,1,1,0,320,461,855,1.85466377440347,4
1187188,42.3118724,-71.1047488,2.28,3,2.34,5.08,7.03,3.89,5.7,4.48,1.1,3.26,220,4,55,96,0.59,17,7,2,4,100,1,1,2,364,114,252,2.21052631578947,4
12379725,42.3334924,-71.0913674,0.65,1.34,0.67,3.62,5.41,2.12,3.88,2.85,2.74,1.51,239,1,239,90,0.83,4,1,2,2,97,21,1,1,304,9,19,2.11111111111111,4
1426711,42.3334924,-71.0913674,0.65,1.34,0.67,3.62,5.41,2.12,3.88,2.85,2.74,1.51,160,5,32,83,0.35,13,3,1,5,100,3,1,1,289,34,80,2.35294117647059,4
4823089,42.3258875,-71.1117783,1.31,1.85,1.59,3.83,6.8,3.51,5.14,4.24,1.67,2.63,79,2,39.5,90,1.53,28,1,1,4,90,3,2,1,0,144,247,1.71527777777778,4
66288,42.3322247,-71.1063993,0.63,1.42,0.9,3.43,6.11,2.82,4.59,3.56,2.53,1.95,75,1,75,78,5.87,404,1,2,2,100,7,1,0,281,2179,2958,1.35750344194585,4
6629929,42.3313396,-71.0954951,0.67,1.4,0.74,3.69,5.68,2.38,4.14,3.12,2.54,1.68,105,1,105,93,1.69,23,1,1,2,90,1,1,1,188,115,250,2.17391304347826,4
4160585,42.3285343,-71.1086054,1.12,1.92,1.36,3.9,6.62,3.33,5.1,4.06,2,2.48,85,1,85,99,1.44,34,2,1,1,100,1,1,1,338,232,507,2.18534482758621,4
13391024,42.3331993,-71.1019797,0.47,1.28,0.71,3.46,5.92,2.63,4.4,3.36,2.68,1.76,110,1,110,98,3.29,8,2,1,2,100,3,1,1,113,38,80,2.10526315789474,4
12517081,42.3310008,-71.1028088,0.59,1.4,0.83,3.6,6.04,2.75,4.52,3.48,2.32,1.88,45,1,45,85,1.03,4,2,1,2,100,1,1.5,1,0,23,32,1.39130434782609,4
13531200,42.3331993,-71.1019797,0.47,1.28,0.71,3.46,5.92,2.63,4.4,3.36,2.68,1.76,70,1,70,100,3,6,2,1,1,100,3,1,1,110,31,62,2,4
11861063,42.3276712,-71.1067395,1.02,1.91,1.27,3.89,6.52,3.23,5,3.96,1.99,2.38,70,2,35,86,2.1,7,2,1,3,100,1,1,1,120,34,61,1.79411764705882,4
5453775,42.3258875,-71.1117783,1.31,1.85,1.59,3.83,6.8,3.51,5.14,4.24,1.67,2.63,99,3,33,83,0.79,14,1,1,5,100,1,2,1,101,41,79,1.92682926829268,4
12497846,42.3318391,-71.1056003,0.63,1.43,0.9,3.47,6.11,2.82,4.59,3.56,2.41,1.95,90,1,90,84,1.9,8,1,1,1,100,1,1,1,0,20,38,1.9,4
14137262,42.3272075,-71.1062222,1.05,1.93,1.29,3.91,6.53,3.25,5.02,3.97,2.01,2.4,80,1,80,93,6.75,9,3,1,2,100,4,1,1,30,27,56,2.07407407407407,4
5526487,42.329133,-71.0946362,0.95,1.68,1.02,3.98,5.85,2.56,4.32,3.29,2.39,1.97,275,3,91.67,95,1.83,28,1,2,6,100,3,2,3,323,166,331,1.99397590361446,4
1373520,42.329082,-71.0978568,0.83,1.56,0.9,3.86,5.91,2.62,4.37,3.35,2.37,1.85,125,1,125,92,1.93,70,1,1,2,100,2,1,1,330,359,688,1.91643454038997,4
13037372,42.3311839,-71.1086751,0.8,1.53,1.07,3.54,6.29,3,4.76,3.73,2.22,2.12,52,2,26,95,3.62,14,1,3,2,88,2,1,1,344,41,112,2.73170731707317,4
1471308,42.3334924,-71.0913674,0.65,1.34,0.67,3.62,5.41,2.12,3.88,2.85,2.74,1.51,70,1,70,79,1.93,72,1,1,2,100,3,1,1,297,334,560,1.67664670658683,4
13521713,42.337739,-71.0957317,0.21,0.85,0.2,3.15,5.41,2.12,3.89,2.86,3.05,1.25,208,1,208,88,2.63,5,1,2,3,100,1,1,1,44,16,31,1.9375,4
848152,42.329082,-71.0978568,0.83,1.56,0.9,3.86,5.91,2.62,4.37,3.35,2.37,1.85,399,3,133,84,0.73,31,1,2,7,100,2,1,2,332,170,268,1.57647058823529,4
1092093,42.3347357,-71.1018627,0.34,1.16,0.6,3.35,5.81,2.52,4.29,3.25,2.69,1.64,115,1,115,89,0.23,9,1,2,3,100,12,2,1,308,75,147,1.96,4
1471373,42.3334924,-71.0913674,0.65,1.34,0.67,3.62,5.41,2.12,3.88,2.85,2.74,1.51,75,3,25,82,1.95,73,1,1,3,100,3,1,1,299,282,436,1.54609929078014,4
13233250,42.3313396,-71.0954951,0.67,1.4,0.74,3.69,5.68,2.38,4.14,3.12,2.54,1.68,199,2,99.5,90,2.89,8,1,2,4,97,21,1,2,320,35,72,2.05714285714286,4
2754149,42.3272075,-71.1062222,1.05,1.93,1.29,3.91,6.53,3.25,5.02,3.97,2.01,2.4,65,1,65,96,1.73,50,1,1,2,90,1,1,1,245,289,642,2.22145328719723,4
9626892,42.3296222,-71.1049269,0.85,1.66,1.09,3.86,6.37,3,4.77,3.81,2.22,2.14,72,1,72,100,0.45,4,5,1,2,100,1,1,1,317,21,57,2.71428571428571,4
5267396,42.3314645,-71.0973132,0.63,1.37,0.7,3.66,5.79,2.5,4.27,3.23,2.5,1.65,170,1,170,91,3.86,73,1,2,2,100,1,1,1,339,336,671,1.99702380952381,4
12264207,42.3296222,-71.1049269,0.85,1.66,1.09,3.86,6.37,3,4.77,3.81,2.22,2.14,150,4,37.5,86,2.14,7,1,2,5,94,5,1,2,0,31,59,1.90322580645161,4
