listing_id,lat,lon,Isabella Stewart Gardner Museum,Fenway Park,MFA Boston,Harvard Square,Boston Harbor,Boston Common,Bunker Hill Monument,Faneuil Hall Marketplace,Arnold Arboretum,Skywalk Observatory,price,beds,price_bed,rating,reviews_month,reviews_count,property_type,room_type,accommodates,host_response_rate,host_listing_count,bathrooms,bedrooms,availability
11986653,42.3295793,-71.0526796,2.71,2.91,2.65,4.9,4.89,2.28,3.82,2.58,4.61,2.67,45,2,22.5,85,8.03,38,Apartment,Private room,4,100,1,1,1,71
6088708,42.3299359,-71.0536894,2.69,2.89,2.63,4.88,4.88,2.23,3.8,2.57,4.6,2.62,128,1,128,92,4.8,78,House,Private room,2,100,6,1,1,59
6151079,42.3299359,-71.0536894,2.69,2.89,2.63,4.88,4.88,2.23,3.8,2.57,4.6,2.62,118,1,118,94,1.81,29,House,Private room,2,100,6,1,1,79
5511924,42.3365174,-71.0344996,3.77,3.66,3.63,5.55,4.61,2.34,3.54,2.3,5.68,3.26,135,1,135,96,1.54,26,Apartment,Private room,2,100,1,1,1,352
5078127,42.3292475,-71.0534804,2.64,2.84,2.58,4.83,4.94,2.3,3.87,2.64,4.55,2.69,300,2,150,96,1.42,24,Condominium,Entire home/apt,5,100,2,2,2,354
8274008,42.3295451,-71.0545113,2.63,2.83,2.57,4.82,4.88,2.23,3.81,2.57,4.54,2.62,95,1,95,98,2.65,32,House,Private room,1,100,2,1,1,331
13188046,42.3313843,-71.0404098,3.38,3.55,3.32,5.54,5.04,2.61,3.97,2.74,5.28,3,189,1,189,100,3.16,10,Condominium,Entire home/apt,3,100,1,1,1,0
4947526,42.3393572,-71.0488053,3.11,2.88,2.85,4.87,4.25,1.96,3.18,1.95,5.25,2.32,125,1,125,97,2.81,54,Apartment,Private room,2,96,2,1,1,101
11714059,42.3373555,-71.0333902,3.85,3.75,3.72,5.55,4.61,2.34,3.54,2.31,5.76,3.26,99,1,99,80,0.77,4,House,Private room,2,100,8,1,1,288
8649257,42.3299359,-71.0536894,2.69,2.89,2.63,4.88,4.88,2.23,3.8,2.57,4.6,2.62,99,2,49.5,87,2.72,30,Condominium,Entire home/apt,4,100,20,1,2,178
